autor,link,descricao,enviado,estrelas
"Vitória Lybnih da Silva","https://github.com/Lybnih/NutriBot.git","Nome do Chatbot: Anya NutriAI Olá, meu amigo(a)! Seja muito bem-vindo(a) ao NutriBot, também conhecido como Anya NutriAI! Sou sua nutricionista virtual de confiança, pronta para te ajudar a alcançar seus objetivos de saúde e bem-estar. Aqui no Nordeste, a gente leva a sério o negócio da comida, mas também sabe dar aquela boa risada, né? Então, bora lá!","Sun, 12 May 2024 12:50:00 GMT","2"
"Pedro Henrique Prado Pacheco","https://github.com/Pacheco280/Projeto-Alura","Este site é um sistema de recomendação de pranchas de surf que utiliza inteligência artificial avançada para fornecer recomendações personalizadas com base na sua altura, peso e tipo de onda que você surfa mais. Usando o modelo de linguagem Gemini da Google, nosso site analisa uma vasta gama de dados e fatores para identificar a prancha de surf ideal para suas necessidades específicas. Fornecemos informações detalhadas sobre as recomendações, incluindo dimensões, materiais e recursos adicionais. Quer você seja um surfista iniciante ou experiente, nosso site pode ajudá-lo a encontrar a prancha perfeita para aprimorar sua experiência de surfe. Basta inserir seus dados e deixar que nosso sistema inteligente faça o resto.","Sun, 12 May 2024 12:52:00 GMT","4"
"Patrick Wellington Silva Cardoso","https://github.com/Patrickcard/Imersao_IA_Alura_Google/tree/main","Chatbot- Para Artistas.","Sun, 12 May 2024 12:52:00 GMT","2"
"Thiago Martins Oliveira","https://github.com/Thiago0808/ReceitIA/tree/main","Projeto de Receitas","Sun, 12 May 2024 12:53:00 GMT","1"
"Luiz Sellan Pereira","https://github.com/LuizSellan/Alura-Imersao_IA_Gemini/blob/main/Untitled0.ipynb","chat box para participar da imersão","Sun, 12 May 2024 12:53:00 GMT","1"
"Alexandre Jarkov","","Sistema de Informação Turística para Famílias Objetivo: Fornecer um sistema de informação completo e fácil de usar para turistas que viajam com suas famílias, permitindo que eles encontrem rápida e facilmente informações sobre instalações médicas e outros pontos de interesse próximos.","Sun, 12 May 2024 12:54:00 GMT","2"
"Leonardo Penteado Oliveira","https://github.com/Eum2/Markowitz","Se trata de uma possível carteira de investimentos. O programa recebe as ações cujo investidor quer ter na carteira, e retorna qual seria qual seria a melhor alocação possível desses investimentos, distribuindo entre as ações indicadas. Ele se baseia no modelo de Markowitz, ganhador do prêmio nobel.","Sun, 12 May 2024 12:54:00 GMT","2"
"João Paulo Nunes Andrade","https://github.com/joaopaulonu/projeto_imers-o/tree/main","Sistema Integrado de Resposta a Desastres (SIRD) ------ O SIRD é a vanguarda da tecnologia humanitária, combinando três poderosas inteligências artificiais para oferecer uma resposta coordenada e eficaz a situações de desastre em todo o mundo preparado para enfrentar os desafios de uma crise de desastre natural. O SIRD e um conjunto de três Inteligências Artificiais; A primeira é para os Sobreviventes, a segunda é para os Brigadisras, Socorristas e Resgatistas e, por fim, a terceira é para o estado.","Sun, 12 May 2024 12:54:00 GMT","4"
"Lucas Moreira","https://github.com/moreirapontocom/imersao-ia-alura-google/tree/main","Ao iniciar o projeto, é exibida uma frase aleatória de conforto e esperança às vítimas das chuvas no RS. As frases são enviadas pelas próprios usuários do app. Os usuários podem enviar suas próprias frases e o Gemini faz uma análise para detectar o teor da mensagem. Se for algo considerado não abusivo, a frase é enviada via API para um banco de dados e pode ser exibida aleatóriamente quando outros usuários iniciarem o app.","Sun, 12 May 2024 12:54:00 GMT","1"
"Richard Nikolas Chaves","https://github.com/richardnikolas/helpMeChoose","A intenção do projeto é ajudar as pessoas indecisas que não conseguem escolher qual filme assistir quando param em frente a TV/computador. Utilizando o Gemini e o The Movie DB são exibidas informações sobre os filmes que o usuário perguntou sobre de uma forma intuitiva e interessante, com objetivo de incentivar o usuário a assistir aquele filme.","Sun, 12 May 2024 12:55:00 GMT","3"
"Ramyres Pereira Aquino","https://github.com/ramyres110/AvaliadorDeCampanhaPolitica","About Avaliador de campanha política para as eleições de 2024. Classifica as informações da campanha em notas referentes ao assuntos: Educação, Financeiro, Emprego, etc;","Sun, 12 May 2024 12:55:00 GMT","3"
"Marcio Rodrigo S. Oliveira","https://github.com/marciorodrigo66/e-tutor.git","e-Tutor > um chatbot com inteligência artificial via API do Google Gemini para interagir com os usuários e tirar todas as dúvidas de inglês e dicas de estudos para melhorar suas habilidades.","Sun, 12 May 2024 12:56:00 GMT","1"
"Edislon Da Sara","https://github.com/Edilson77/Assistente_python","O EDS7 Assistente Inteligente é um chatbot que usa inteligência artificial para encontrar e sintetizar informação em documentos. Ele transforma textos em vetores numéricos, representando seu significado, e compara esses vetores com a pergunta do usuário para achar o documento mais relevante. Então, o chatbot gera uma resposta concisa e direta usando o conteúdo do documento selecionado.","Sun, 12 May 2024 12:57:00 GMT","1"
"Enzo Capotosto de Souza","https://github.com/souzaenzo/Mega_ProjetoImersao/blob/main/MegaProjetoImersao.ipynb","gera embeddings de texto para realizar consultas semânticas em documentos e reescreve textos com um tom mais descontraído. O código foi organizado em funções reutilizáveis, com exemplos claros e documentação atualizada para facilitar o uso e a compreensão. Eficiência, utilidade e criatividade são os pilares deste projeto, visando resolver problemas de busca e reescrita de texto de maneira inovadora.","Sun, 12 May 2024 12:57:00 GMT","2"
"Mellyssa Gonaçlves de Sales Souza","https://github.com/mellyssagoncalves/Aula-4-da-Alura","O projeto consiste em um chat interativo baseado em inteligência artificial (IA), desenvolvido em Python utilizando a API de IA do Google, especificamente o modelo Geminai. O objetivo principal é criar uma experiência interativa onde os usuários podem fazer perguntas relacionadas à sustentabilidade empresarial e receber respostas informativas e relevantes da IA.","Sun, 12 May 2024 12:58:00 GMT","1"
"Jarkov Alexandre","https://github.com/pictus282/DesafioImersaoAI.git","Sistema de Informação Turística para Famílias Con Objetivo: Fornecer um sistema de informação completo e fácil de usar para turistas que viajam com suas famílias, permitindo que eles encontrem rápida e facilmente informações sobre instalações médicas e outros pontos de interesse próximos.","Sun, 12 May 2024 12:58:00 GMT","2"
"Thiago Marqueti Soares","https://github.com/ThiagoMSo/Imersao_Alura/tree/main","Projeto de Assistente Virtual para Área de Lazer Este projeto foi criado para solucionar um problema que acompanho há tempos. Minha mãe, proprietária de uma área de lazer, por conta da idade e da preferência em não delegar a administração, frequentemente se perde ou se irrita ao responder repetidamente as mesmas perguntas sem qualquer auxílio. Diante disso, idealizei a criação de um chatbot para auxiliá-la nessa tarefa, respondendo às perguntas mais simples e deixando para ela as mais complexas. Assim surgiu a ideia do chatbot para área de lazer. Objetivo e Funcionalidades O projeto desenvolve um assistente virtual para uma área de lazer, utilizando técnicas de Processamento de Linguagem Natural (PLN) e recuperação de informações. O assistente é capaz de: Compreender as perguntas dos usuários sobre comodidades, valores, regras e outras informações relevantes da área de lazer. Fornecer respostas informativas utilizando um modelo de PLN para extrair entidades das perguntas e classificá-las em categorias rel","Sun, 12 May 2024 12:58:00 GMT","3"
"Juliana dos Santos Ribeiro","https://github.com/juuliana/chatbot-audio","Chatbot que responde com áudios, tendo duas opções de prompt: o primeiro é responsável por receber textos e transformar em áudio, já o outro, é responsável por receber uma pergunta em forma de texto e responder em áudio.","Sun, 12 May 2024 12:59:00 GMT","6"
"Gustavo Germano Cipriano Silva","https://github.com/GeGusta/Desafio_Gemini_Alura/tree/main","Este é um projeto de avaliação de currículo e da compatibilidade dele com a descrição da vaga pretendida. Tem duas funções: avaliar o currículo, vendo pontos positivos e a melhorar; e ver a compatibilidade do currículo com a descrição de uma vaga, dando um score de 0 a 100.","Sun, 12 May 2024 12:59:00 GMT","4"
"Gilberto Nasser","https://github.com/gtnasser/imersaoia-alura-google","Este projeto é uma solução para aplicação de IA na classificação de livros e identificação do seu local de armazenamento, considerando os assuntos definidos por estante. Aqui criamos uma situação extraordinária, uma redução no número de estantes e assuntos disponíveis, forçando a IA a adotar novos critérios para reclassificação dos livros. Esta solução permite ainda a inclusão de novas regras em tempo real, influenciando assim o processo de reclassificação.","Sun, 12 May 2024 13:02:00 GMT","2"
"Lucas Daniel Arcanjo","https://github.com/arcanjo96/gemini-company-frequently-asked-questions/tree/main","Sistema de Perguntas Frequentes para Empresas","Sun, 12 May 2024 13:02:00 GMT","3"
"André Mariano","https://github.com/andrecmariano/Projeto_Imersao_Alura","O Buscador Pet é uma ferramenta que tem o objetivo de conectar donos de pet com seus bichinhos que foram perdidos durante as devastadoras enchentes que afetaram o Rio Grande do Sul.","Sun, 12 May 2024 13:03:00 GMT","3"
"Gustavo Luz Sônego","https://gist.github.com/GustavoLuzzz/849a66200e3a68a58764887c46540ad9","Ajuda com matérias e trabalhos","Sun, 12 May 2024 13:04:00 GMT","3"
"Henrique Oliveira","https://github.com/henriquejpo/Gemini-Visual-Guidance/tree/main","Este projeto combina fala para texto com API Google Gemini para orientação visual. Ele permite que os usuários façam perguntas sobre cenas e objetos e recebam respostas descritivas quase em tempo real. Acho este projeto interessante porque explora o potencial da tecnologia para fornecer assistência e acessibilidade para cegos e deficientes visuais. Ao aproveitar o reconhecimento de fala e a descrição de imagens com tecnologia de IA, podemos criar uma ferramenta que ajuda os indivíduos a compreender melhor o que os rodeia. Para trabalhos futuros, quero adicionar a funcionalidade de conversão de texto em fala, completando o ciclo de comunicação e tornando a experiência mais integrada e intuitiva. Estou aberto a comentários e sugestões de melhorias.","Sun, 12 May 2024 13:06:00 GMT","2"
"Cesar Augusto Pereira","https://github.com/CesarAugustoPereira/Projeto_Imersao_Alura_Google","Este código utiliza o modelo Gemini-1.0-Pro da Google AI para oferecer recursos como tradução, resumo, criação de conteúdo e muito mais.","Sun, 12 May 2024 13:06:00 GMT","2"
"Mariana","https://github.com/marianabetine/2024_imersao-ia_alura-google_projeto","Aprendizado através de Vídeos do Youtube e IA","Sun, 12 May 2024 13:06:00 GMT","2"
